organisation,problem_areas,hiring_regions,employee_band,visa_sponsorship,open_roles,description
Anthropic,AI safety & policy,US (West Coast),101+,yes,34,"Frontier AI research and product company, with teams working on alignment, policy, and security"
Coefficient Giving,AI safety & policy; Macrostrategy,"Remote, Global; US (West Coast)",101+,yes,12,Grantmaking and research nonprofit working across a range of areas
"European Union, AI Office",AI safety & policy,Europe (excl. UK),101+,no,1,European Commission office that governs all aspects of AI in Europe
Google DeepMind,AI safety & policy,UK,101+,yes,11,"Frontier AI research and product company, with teams working on alignment, policy, and security"
OpenAI,AI safety & policy,US (West Coast),101+,yes,35,"Frontier AI research and product company, with teams working on alignment, policy, and security"
RAND Corporation,AI safety & policy; Biosecurity & pandemic prep,US (East Coast); US (West Coast),101+,no,6,Research and analysis focused think tank with roles focusing on biosecurity and AI governance
UK Government,AI safety & policy; Biosecurity & pandemic prep,UK,101+,no,8,UK government positions that provide an opportunity to work on pressing global problems
US Government,AI safety & policy; Biosecurity & pandemic prep; Nuclear security,US (East Coast),101+,no,15,US government positions that provide an opportunity to work on pressing global problems
"Georgetown University, Center for Security and Emerging Technology",AI safety & policy; Biosecurity & pandemic prep; China-Western relations,US (East Coast),51-100,no,1,Think tank producing research at the intersection of security and technology
"UK Government, AI Security Institute",AI safety & policy,UK; US (West Coast),51-100,no,6,UK government organisation focused on frontier AI safety for the public interest
Nuclear Threat Initiative,Biosecurity & pandemic prep; Nuclear security,US (East Coast),51-100,no,0,Think tank working on a range of biosecurity and nuclear issues
Apart Research,AI safety & policy,"Remote, Global",21-50,no,3,Decentralised AI safety organisation that promotes technical AI safety by fostering a community of researchers
Center for AI Safety,AI safety & policy,US (West Coast),21-50,no,4,Nonprofit conducting technical research and field building for high-consequence risks from AI
Center on Long-Term Risk,AI safety & policy,"UK; Remote, Global",21-50,no,3,Nonprofit working to address worst-case risks from the development and deployment of advanced AI systems
Centre for Effective Altruism,Building effective altruism,"UK; Remote, Global; US (West Coast)",21-50,no,4,Nonprofit providing support and coordination for the effective altruism movement and community
Concordia AI,China-Western relations,"Remote, Global; Asia",21-50,no,1,"Organisation providing strategic advice on the safe and responsible development of AI, with a focus on China"
Constellation,AI safety & policy,US (West Coast),21-50,yes,14,Collaborative AI safety research center
FAR AI,AI safety & policy,"Remote, Global; US (West Coast)",21-50,yes,14,Research organisation aiming to ensure AI systems are trustworthy and beneficial to society
Future of Life Institute,AI safety & policy,"Remote, Global; Europe (excl. UK); US (East Coast); US (West Coast)",21-50,no,2,Nonprofit that works to reduce global catastrophic and existential risks facing humanity
GovAI,AI safety & policy,UK,21-50,yes,6,Nonprofit that helps decision-makers navigate the transition to a world with advanced AI
MATS Research,AI safety & policy,US (West Coast),21-50,no,4,Research program providing mentorship in the field of AI alignment
Model Evaluation and Threat Research,AI safety & policy,"Remote, Global; US (West Coast)",21-50,yes,4,Research team focused on evaluating the capabilities and alignment of advanced machine learning models
SecureBio,Biosecurity & pandemic prep,US (East Coast),21-50,yes,11,Research lab that includes the Nucleic Acid Observatory and SecureDNA biosecurity projects
Institute for Law and AI,AI safety & policy,"Remote, Global",21-50,no,0,Organisation conducting and supporting legal research focused on existential risks
Americans for Responsible Innovation,AI safety & policy,US (East Coast),11-20,no,2,"Nonprofit dedicated to policy advocacy in the public interest for emerging technology, including AI"
Apollo Research,AI safety & policy,UK,11-20,yes,11,London-based research and auditing organisation focused on detecting deception in advanced AI systems
Centre for Long-Term Resilience,AI safety & policy,"UK; Remote, Global",11-20,no,3,Independent think tank focused on global resilience to extreme risks
Epoch AI,AI safety & policy,"Remote, Global",11-20,no,8,Team of researchers investigating and forecasting the future development of advanced AI
Horizon Institute for Public Service,AI safety & policy,US (East Coast),11-20,no,11,"Non-partisan, nonprofit org that aims to help the US government navigate rapid technological change"
Longview Philanthropy,Building effective altruism; Macrostrategy,UK,11-20,no,2,Nonprofit that designs and executes bespoke giving strategies for major donors with a focus on long-term problems
Machine Intelligence Research Institute,AI safety & policy,US (West Coast),11-20,no,1,AI research organisation currently focusing on policy and communications
Institute for AI Policy and Strategy,AI safety & policy,"Remote, Global; US (East Coast)",11-20,no,0,Nonprofit that aims to reduce risks of frontier AI systems via research for policy recommendations
The Future Society,AI safety & policy,Europe (excl. UK); US (East Coast); US (West Coast),11-20,no,0,Nonprofit aiming to help align artificial intelligence through better governance
AI Futures Project,AI safety & policy,US (East Coast); US (West Coast),1-10,no,2,Research group forecasting the future of AI
BlueDot Impact,AI safety & policy; Biosecurity & pandemic prep,UK,1-10,yes,10,Nonprofit that runs courses to help participants pursue high-impact careers
Blueprint Biosecurity,Biosecurity & pandemic prep,US (East Coast),1-10,no,4,"Nonprofit dedicated to achieving breakthroughs in humanity's capability to prevent, mitigate, and suppress pandemics"
CivAI,AI safety & policy,"Remote, Global; US (East Coast); US (West Coast)",1-10,no,3,Nonprofit that informs audiences about AI capabilities and dangers using demonstrations of the technology
Encode,AI safety & policy,,1-10,no,4,"Global, youth-led organisation that fights for human rights accountability and justice under AI"
ERA,AI safety & policy,Europe (excl. UK),1-10,no,2,Project that provides a summer research fellowship at the University of Cambridge working on risks from frontier AI
Forethought,AI safety & policy,"UK; Remote, Global",1-10,no,2,Research nonprofit focused on how to navigate the transition to a world with superintelligent AI systems
Lightcone Infrastructure,Building effective altruism,US (West Coast),1-10,yes,1,Organisation building community infrastructure to help safeguard humanity's long-term future
Palisade Research,AI safety & policy,"Remote, Global; US (East Coast); US (West Coast)",1-10,no,4,Organisation that researches offensive AI capabilities to better understand and communicate threats posed by agentic AI
Redwood Research,AI safety & policy,US (West Coast),1-10,yes,1,Nonprofit conducting exploratory AI alignment research
Simon Institute for Longterm Governance,AI safety & policy,Europe (excl. UK),1-10,no,8,Think tank working on international cooperation on governing frontier AI
Alignment Research Center,AI safety & policy,"Remote, Global; US (West Coast)",1-10,yes,0,Research organisation aiming to align future machine learning systems with human interests
ARENA,AI safety & policy,UK,1-10,no,0,"Organisation that aims to help individuals develop the skills, community, and confidence to contribute to technical AI safety"
Frontier Model Forum,AI safety & policy,"Remote, Global; US (East Coast)",1-10,no,0,AI industry body dedicated to advancing frontier AI safety
Safe AI Forum,AI safety & policy,"Remote, Global",1-10,no,0,Forum that aims to foster governance to reduce catastrophic risks through collaboration among global actors
Secure AI Project,AI safety & policy,US (West Coast),1-10,no,0,Nonprofit that develops and advocates for policies to reduce severe risks from frontier AI
Talos Network,AI safety & policy,Europe (excl. UK),1-10,no,0,Talent development organisation for European AI policy careers
Tarbell Center for AI Journalism,AI safety & policy,UK; US (East Coast); US (West Coast),1-10,no,0,Organisation supporting journalism to help society navigate the emergence of advanced AI
International policy roles,AI safety & policy; Biosecurity & pandemic prep; Nuclear security,"Remote, Global; Europe (excl. UK)",,no,4,Collected roles at international organisations working on key policy areas
US policy fellowships,AI safety & policy; Biosecurity & pandemic prep; Nuclear security,US (East Coast); US (West Coast),,no,12,"Early career fellowships working on policy issues at a US think tank, or in government"
