job_pk,title,organisation,live_posting_url,location,work_mode,salary_low,salary_high,currency,seniority,deadline,engagement_type,is_real_vacancy,hard_to_fill_signal
20684,Social Media & Community Manager,Center for AI Safety,https://job-boards.greenhouse.io/centerforartificialintelligencesafetyinc/jobs/4376556009,"San Francisco, CA",On-site,120000,160000,USD,5-7 yrs,rolling,Permanent,yes,"Reports to Head of Public Engagement; org offers $1,500 referral bonus (sourcing via network)"
20698,"Team Member, Lab Engagement",Encode,https://encode-careers.vercel.app/,"Remote USA / DC metro / SF Bay",Remote,,,USD,Junior (1-4 yrs),2026-09-04,Permanent,yes,"Low - junior, undergrad or less, 1-10 person org"
20680,"Head of Partnerships, Fellowship",Tarbell Center for AI Journalism,https://www.journalismjobs.com/1693680-head-of-partnerships-fellowship-tarbell-center-for-ai-journalism,"New York or San Francisco preferred; DC or other US considered",Remote then hybrid 2d/wk,118000,164000,USD,5-7 yrs,rolling,Permanent,yes,"Requires existing top-tier newsroom relationships; scaling 20 to 30+ fellows in 2027"
20686,Digital Campaigns Manager,Humans in Control,https://remoteimpact.org/jobs/digital-campaigns-manager-humans-in-control/,Remote (US only),Remote,80000,95000,USD,Mid,rolling,Permanent,yes,"Must write credibly for a politically mixed audience; nonpartisan positioning"
20741,Residency,MATS Research,https://www.matsprogram.org/residency,"London (UK) / Berkeley, CA / Washington, DC",Hybrid (1/3 in person),155000,285000,USD,Senior researcher,2026-10-31,"Fixed term 6-24 months (staff, salaried)",yes,"Thin pool; up to 30 hires/yr; competing directly with frontier lab comp"
20764,AI Cyber Red Teamer,"Trajectory Labs, PBC",https://www.trajectorylabs.com/careers/ai-cyber-red-teamer,Remote (Global),Remote,,,USD,Specialist,rolling,Contract,yes,"Very thin pool - requires demonstrated frontier-model jailbreaks plus offensive security background"
20723,Summer Fellowship (US),Institute for Law & AI,https://law-ai.org/summer-fellowship-us/,"Washington, DC",In person preferred,,,USD,Law student / early career,2027-01-29,"Fellowship stipend ($2,000/wk + $10k relocation)",NO - candidate intake programme,n/a
20674,DC Research Manager (Talent Development Team),GovAI,https://www.governance.ai/post/dc-research-manager-talent-development-team,"Washington, DC",Hybrid outside fellowship periods,105000,150000,USD,Mid-senior,2026-09-13,Permanent,yes,"Wants established DC emerging-tech-policy network; visa sponsorship available"
20675,Entrepreneur-in-Residence,GovAI,https://www.governance.ai/post/eir,London (UK) or Washington DC,Hybrid,70000,180000,"GBP (London 70000-113500) / USD (DC 80000-180000)",Senior operator/founder,rolling,Fixed term 12 months,"yes, but founder-in-residence not a conventional hire","Selection is a pitch for what you would build; no visa sponsorship"
20743,"Business Correspondent, Artificial Intelligence and Emerging Technologies",The New York Times,https://job-boards.greenhouse.io/thenewyorktimes/jobs/4724444005,"San Francisco, CA",In-office 4 days/wk,124979.94,190000,USD,5+ yrs beat reporting,rolling,Permanent,yes,"NewsGuild-represented; filled by direct application with 5-7 clips"
