role,org,cell,salary_mid_usd,firm_rank,firm,firm_grade,why
"Member of Technical Staff, Embedded Assessments",Model Evaluation and Threat Research,cyber-offensive,544904,1,RedBlue Security,A,"Purest hands-on offensive boutique (pentest, VR, exploit dev, red team, malware/RE) with a US HQ, matching a junior/mid security-research IC who embeds assessments."
"Member of Technical Staff, Embedded Assessments",Model Evaluation and Threat Research,cyber-offensive,544904,2,Code Red Partners,B,SF-based cybersecurity/AI search that places hands-on security engineers and offensive-security ICs into AI-native orgs exactly like METR.
"Member of Technical Staff, Embedded Assessments",Model Evaluation and Threat Research,cyber-offensive,544904,3,Hamilton Barnes,B,"Dedicated pentest/ethical-hacker desk reaching hands-on offensive ICs, with North America coverage for this SF role."
"Member of Technical Staff, Embedded Assessments",Model Evaluation and Threat Research,cyber-offensive,544904,4,Adeptis Group,B,"Places pentesters, red teamers and malware analysts at IC level across a global (including US) remit."
"Member of Technical Staff, Cyberforensics",Model Evaluation and Threat Research,cyber-offensive,490316,1,RedBlue Security,A,"Malware analysis and reverse engineering are named core sub-sectors, directly adjacent to a cyberforensics IC; US HQ."
"Member of Technical Staff, Cyberforensics",Model Evaluation and Threat Research,cyber-offensive,490316,2,Trident Search (via Gareth Davies' cyber-defence/offensive desk),B,Gareth Davies' desk explicitly sources DFIR (digital forensics/incident response) talent — route to Gareth and avoid the firm's GTM desks.
"Member of Technical Staff, Cyberforensics",Model Evaluation and Threat Research,cyber-offensive,490316,3,Adeptis Group,B,"Explicitly places incident responders and malware analysts, matching a forensics IC; global including US."
"Member of Technical Staff, Cyberforensics",Model Evaluation and Threat Research,cyber-offensive,490316,4,Code Red Partners,B,SF-based team-build search reaching the software-engineering-heavy security ICs a forensics role demands.
"Member of Technical Staff, Cyberforensics",Model Evaluation and Threat Research,cyber-offensive,490316,5,Hamilton Barnes,B,"Broad hands-on security desk including incident response, with North America coverage."
Task Development Engineer,Model Evaluation and Threat Research,ai-research,450000,1,Thayon,A,Single-discipline frontier-AI search placing research and inference engineers hands-on with named lab placements — a task-development research-engineer is its core.
Task Development Engineer,Model Evaluation and Threat Research,ai-research,450000,2,Lateral Labs,A,Built specifically for ML and AI-research IC roles spanning research and engineering at frontier orgs; exact function with global reach.
Task Development Engineer,Model Evaluation and Threat Research,ai-research,450000,3,Axica,A,"Single-discipline ML search with named research-scientist and research-engineering practices, strong for a research-engineering IC."
