icp_category,supply_cell,salary_mid_usd,title,org,location,experience,salary_text,role_type,posted,skills,icp_reason,description
A,cyber-offensive,544904,"Member of Technical Staff, Embedded Assessments",Model Evaluation and Threat Research,"San Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$402,048 – $687,759 stipend",Full-time,31 August 2026,"Research, Information security","real vacancy, $544,904 mid, market exists (cyber-offensive)",Be embedded at frontier AI labs to assess AI risks and investigate loss-of-control threats through conducted exercises.
A,cyber-offensive,490316,"Member of Technical Staff, Cyberforensics",Model Evaluation and Threat Research,"San Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$402,048 – $578,583 stipend",Full-time,31 August 2026,"Information security, Software engineering","real vacancy, $490,316 mid, market exists (cyber-offensive)",Investigate incidents at frontier AI labs and stress-test agent monitoring systems to assess catastrophic risks from advanced AI.
A,ai-research,450000,Task Development Engineer,Model Evaluation and Threat Research,Remote (Global),Mid (5–9 years experience),$150 – $300 per hour,Full-time,10 August 2026,"Research, Software engineering","real vacancy, $450,000 mid, market exists (ai-research)","Develop challenging, novel evaluation tasks for frontier AI models that remain difficult as model capabilities grow."
A,nonprofit-ops-exec,400000,"Generalist, Core Team",Lightcone Infrastructure,"San Francisco Bay Area, USA",Multiple experience levels,"Up to $400,000",Full-time,24 August 2026,"Operations, Management, Strategy","real vacancy, $400,000 mid, market exists (nonprofit-ops-exec)","Work as a core team generalist handling diverse responsibilities across design, programming, operations, and strategic initiatives."
A,ai-research,400000,Automation Lead,Alignment Research Center,"San Francisco Bay Area, USA",Mid (5–9 years experience),"$200,000 – $600,000",Full-time,5 August 2026,Software engineering,"real vacancy, $400,000 mid, market exists (ai-research)",Develop strategy and oversee execution for automating ARC's research activities using AI systems.
A,cyber-offensive,394332,Security Engineer,Model Evaluation and Threat Research,"San Francisco Bay Area, USA",Multiple experience levels,"$285,548 – $503,116",Full-time,30 July 2026,"Information security, Software engineering","real vacancy, $394,332 mid, market exists (cyber-offensive)",Establish security for a nonprofit protecting sensitive frontier AI models and infrastructure from increasingly sophisticated threats.
A,cyber-offensive,375000,Head of Secure Data Centre Scaling,SL5 Task Force,"San Francisco Bay Area, USA",Senior (10+ years experience),"$250,000 – $500,000",Full-time,18 August 2026,"Information security, Engineering","real vacancy, $375,000 mid, market exists (cyber-offensive)",Developroadmaps for building a Security Level 5 datacenter defending AI labs from nation-state threats.
A,cyber-offensive,366453,System Administrator,Model Evaluation and Threat Research,"San Francisco Bay Area, USA","Mid (5–9 years experience), Senior (10+ years experience)","$260,937 – $471,969 stipend",Full-time,31 August 2026,"Operations, Information security","real vacancy, $366,453 mid, market exists (cyber-offensive)","Own technical operations, systems maintenance, and user support for technical teams."
A,ai-research,339500,"Engineering Manager, Product",Apollo Research,"San Francisco Bay Area, USALondon, UK",Mid (5–9 years experience),"$283,000 – $396,000; £190,000 – £266,000",Full-time,31 August 2026,"Strategy, Management, Software engineering","real vacancy, $339,500 mid, market exists (ai-research)","Lead the product engineering team for Watcher, balancing hands-on coding with team management."
A,cyber-offensive,325000,Head of AI Red Teaming,"Trajectory Labs, PBC","San Francisco Bay Area, USA",Mid (5–9 years experience),"$250,000 – $400,000",Full-time,14 August 2026,"Strategy, Management, Information security","real vacancy, $325,000 mid, market exists (cyber-offensive)","Manage the prompt injection red-teaming operation end to end, delivering safer models for frontier labs."
A,ai-research,325000,"Tech Lead, AI Safety","Trajectory Labs, PBC","San Francisco Bay Area, USA",Mid (5–9 years experience),"$250,000 – $400,000",Full-time,31 July 2026,"Software engineering, Management","real vacancy, $325,000 mid, market exists (ai-research)",Lead a team designing critical safety and alignment evaluations for frontier AI labs.
A,cyber-offensive,312500,"Member of Technical Staff, Secure Intelligence Institute",Perplexity,"San Francisco Bay Area, USA",Junior (1–4 years experience),"$220,000 – $405,000",Full-time,13 August 2026,"Research, Information security","real vacancy, $312,500 mid, market exists (cyber-offensive)","Conduct original research on security and privacy of frontier AI systems, translating findings into practical improvements."
A,cyber-offensive,300000,"Head of Evaluations, AI Red Teaming","Trajectory Labs, PBC","San Francisco Bay Area, USA",Senior (10+ years experience),"$200,000 – $400,000",Full-time,31 August 2026,"Strategy, Software engineering, Information security","real vacancy, $300,000 mid, market exists (cyber-offensive)","Own the evaluation pipeline for prompt injection red-teaming, ensuring quality standards for what ships to frontier lab customers."
A,cyber-offensive,300000,Member of Technical Staff,Artificial Intelligence Underwriting Company,"San Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$200,000 – $400,000",Full-time,6 August 2026,"Software engineering, Information security","real vacancy, $300,000 mid, market exists (cyber-offensive)","Lead thered-teaming of AI agents end-to-end, from technical scoping through certification and remediation."
