cell,firm,grade,geo,hq,what_they_place,source
cyber-offensive,RedBlue Security,A,global,"Austin, Texas, USA (originated London; offices Austin + Cape Town)","Own site: ""We place security professionals predominantly within the following sub-sectors: Penetration Testing... Vulnerability / Security Research & Exploit Development, Offensive / Defensive Security Engineering (Red Team / Blue Team), Malware Analysis & Reverse Engineering..."" and ""We're not a re",https://redbluesecurity.com/
cyber-offensive,Barclay Simpson,A,UK,"London, UK","Own site: ""Barclay Simpson specialises in the provision of penetration testing job opportunities. We have a team of specialist consultants dedicated to securing the best penetration testing jobs..."" Live own-site roles: ""Senior Red Team Operator,"" ""Penetration Testing Director,"" ""Penetration Tester,",https://www.barclaysimpson.com/specialisms/penetration-testing-jobs/
cyber-offensive,Code Red Partners,B,global,"San Francisco, USA (offices NY, Denver; UK presence)","Own site: ""global cybersecurity, AI and defense technology search firm... We build founding and scaling security teams... Whether you're hiring for a CISO or a Security Engineer, our specialist cybersecurity headhunters can help you build out your internal security team."" Own LinkedIn: hiring an ""Of",https://coderedpartners.com/
cyber-offensive,Hamilton Barnes,B,global,"London, UK (UK/Europe/North America)","Own site: ""Hamilton Barnes specialises in Cyber Security recruitment, connecting organisations with Cyber Security Analysts, Security Engineers, Penetration Testers, SOC Analysts..."" Pen-test sub-specialism: ""Penetration Tester, Ethical Hacker, Vulnerability Management Consultant, Vulnerability Mana",https://www.hamilton-barnes.com/specialisms/enterprise-security-jobs/cyber-security/
cyber-offensive,Adeptis Group,B,global,"Brighton, UK (US/France/Switzerland/Netherlands)","Own site (Virtual Bench) ""Who We Have: Pentesters... Incident Responders, Cloud Security Architects""; ""Core Competencies: Red Teaming, Vulnerability Scans, API Security... Threat Hunting, Malware Analysis."" Live job: ""Senior Penetration Tester... within Offensive Security."" Firm line: ""We Build High",https://adeptisgroup.com/adeptis-virtual-bench/
cyber-offensive,Stott and May,B,global,"London, UK (plus US offices)","Own site markets page: cyber security recruitment ""helping CISOs and technology leaders hire the security talent others can't reach."" Live own-site roles: ""Penetration Testing Lead... a hands-on Penetration Testing Lead to shape, scale, and elevate a growing cyber security practice... the next phase",https://www.stottandmay.com/markets/cyber-security-recruitment
cyber-offensive,Trident Search (via Gareth Davies' cyber-defence/offensive desk),B,global,"London, UK (US presence)","Firm-level own site/LinkedIn: ""builds early and growth-stage cyber security vendors by placing the very best GTM and R&D professionals."" Gareth Davies' own Trident team page: ""specialises in sourcing the best SOC, DFIR and Offensive Security talent... an extensive network of Analysts, Threat Hunters",https://www.tridentsearch.co.uk/cm/team/gareth_davies
cyber-offensive,C-Serv,B,global,"London, UK (staff across US, Canada, Chile, Portugal)","Own site: ""designs, recruits, and deploys high-performing technology teams"" across ""AI & ML, Cybersecurity, Cloud & Infrastructure, Networking, DevOps, Software Engineering, Executive Search."" Own LinkedIn: ""we help technology-led organizations identify, hire, and build specialist AI and cybersecuri",https://www.c-serv.com/
cyber-offensive,Cipher Cyber,C,UK,"London, UK","Own site: ""Areas of specialism include: Penetration Testing, Red Teaming & Security Research (CREST & CHECK); Information Security Consultant/Manager; Governance, Risk & Compliance...; Defensive - DFIR, SOC...; Cyber Sales and Pre Sales; Security Engineering (CI/CD, DevSecOps); Executive Search (CIS",https://www.ciphercyber.co.uk/
cyber-offensive,Aspiron Search,C,global,"Bournemouth, UK (places into North America)","Own site: ""We work on executive search, teams builds and specialist engineering roles within cybersecurity companies. This includes VP and C-suite hires, founding commercial hires, senior sales and marketing leadership, and product and engineering roles within security-focused organisations."" Four p",https://www.aspironsearch.com/why-aspiron
