icp_category,supply_cell,salary_mid_usd,title,org,location,experience,salary_text,role_type,posted,skills,icp_reason,description,source
A,cyber-offensive,544904,"Member of Technical Staff, Embedded Assessments",Model Evaluation and Threat Research,"San Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$402,048 – $687,759 stipend",Full-time,31 August 2026,"Research, Information security","real vacancy, $544,904 mid, market exists (cyber-offensive)",Be embedded at frontier AI labs to assess AI risks and investigate loss-of-control threats through conducted exercises.,aisafety.com
A,cyber-offensive,490316,"Member of Technical Staff, Cyberforensics",Model Evaluation and Threat Research,"San Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$402,048 – $578,583 stipend",Full-time,31 August 2026,"Information security, Software engineering","real vacancy, $490,316 mid, market exists (cyber-offensive)",Investigate incidents at frontier AI labs and stress-test agent monitoring systems to assess catastrophic risks from advanced AI.,aisafety.com
A,ai-research,450000,Task Development Engineer,Model Evaluation and Threat Research,Remote (Global),Mid (5–9 years experience),$150 – $300 per hour,Full-time,10 August 2026,"Research, Software engineering","real vacancy, $450,000 mid, market exists (ai-research)","Develop challenging, novel evaluation tasks for frontier AI models that remain difficult as model capabilities grow.",aisafety.com+80k-orgpage
A,nonprofit-ops-exec,400000,"Generalist, Core Team",Lightcone Infrastructure,"San Francisco Bay Area, USA",Multiple experience levels,"Up to $400,000",Full-time,24 August 2026,"Operations, Management, Strategy","real vacancy, $400,000 mid, market exists (nonprofit-ops-exec)","Work as a core team generalist handling diverse responsibilities across design, programming, operations, and strategic initiatives.",aisafety.com
A,ai-research,400000,Automation Lead,Alignment Research Center,"San Francisco Bay Area, USA",Mid (5–9 years experience),"$200,000 – $600,000",Full-time,5 August 2026,Software engineering,"real vacancy, $400,000 mid, market exists (ai-research)",Develop strategy and oversee execution for automating ARC's research activities using AI systems.,aisafety.com+80k-orgpage
A,cyber-offensive,394500,Security Engineer,Model Evaluation and Threat Research,"Berkeley, CA, USA",senior,$286-503k,permanent,,,"Real vacancy with a $286-503k band in security engineering, a function with a deep recruiter supply market.",Security engineer protecting METR's model-evaluation infrastructure and frontier model weights.,aisafety.com+80k-orgpage
A,cyber-offensive,375000,Head of Secure Data Centre Scaling,SL5 Task Force,"San Francisco Bay Area, USA",Senior (10+ years experience),"$250,000 – $500,000",Full-time,18 August 2026,"Information security, Engineering","real vacancy, $375,000 mid, market exists (cyber-offensive)",Developroadmaps for building a Security Level 5 datacenter defending AI labs from nation-state threats.,aisafety.com
A,cyber-offensive,366453,System Administrator,Model Evaluation and Threat Research,"San Francisco Bay Area, USA","Mid (5–9 years experience), Senior (10+ years experience)","$260,937 – $471,969 stipend",Full-time,31 August 2026,"Operations, Information security","real vacancy, $366,453 mid, market exists (cyber-offensive)","Own technical operations, systems maintenance, and user support for technical teams.",aisafety.com
A,ai-research,350000,"Member of Technical Staff, Research",Model Evaluation and Threat Research,"Berkeley, CA, USA",senior,$250-450k,permanent,,,Real vacancy at $250-450k in AI-ML research engineering with a real recruiter market and no fee closure.,Research engineer/scientist running capability and alignment evaluations of advanced ML models.,80k-orgpage
A,ai-research,339500,"Engineering Manager, Product",Apollo Research,"San Francisco Bay Area, USALondon, UK",Mid (5–9 years experience),"$283,000 – $396,000; £190,000 – £266,000",Full-time,31 August 2026,"Strategy, Management, Software engineering","real vacancy, $339,500 mid, market exists (ai-research)","Lead the product engineering team for Watcher, balancing hands-on coding with team management.",aisafety.com
