job_pk,job_title,organisation,rank,recruiter,recruiter_url,recruiter_hq,why_this_match,confidence
20684,Social Media & Community Manager,Center for AI Safety,1,Chaloner,https://chaloner.com/,"McLean, VA","Search firm working exclusively with mission-driven orgs since 1979; communications is a named core practice and they recruit at all levels, not only C-suite",High
20684,Social Media & Community Manager,Center for AI Safety,2,Singh Hecht Executive Search,https://singhhecht.com/,"Chicago, IL","Boutique doing PR/comms/marketing only, and works contingency as well as retained - important at a $120-160k band below most retained minimums",High
20684,Social Media & Community Manager,Center for AI Safety,3,Impact Ops,https://impact-ops.org/,Remote-first,"Provides recruitment as a service specifically to AI safety nonprofits; CAIS is precisely their stated client profile",High
20684,Social Media & Community Manager,Center for AI Safety,4,Careers In Nonprofits,https://careersinnonprofits.com/,"Chicago, IL","Nonprofit-only staffing with a San Francisco office and a direct-hire marketing/comms desk at exactly this level",Medium
20684,Social Media & Community Manager,Center for AI Safety,5,PNP Staffing Group,https://pnpstaffinggroup.com/,"New York, NY","Nonprofit-exclusive, SF office, explicit Marketing and Communications practice covering middle-manager hires",Medium
20680,"Head of Partnerships, Fellowship",Tarbell Center for AI Journalism,1,Filcro Media Staffing,https://executivesearch.tv/,"New York, NY","Media and broadcasting executive search since 1985 that explicitly reports to NGOs as well as commercial media - the rare firm sitting on both axes this role needs",High
20680,"Head of Partnerships, Fellowship",Tarbell Center for AI Journalism,2,Lynne Palmer Executive Recruitment,https://lynnepalmerinc.com/,"New York, NY","NYC publishing and media search since 1964, mid-to-senior editorial placements; the role wants a former newsroom editor",High
20680,"Head of Partnerships, Fellowship",Tarbell Center for AI Journalism,3,Chaloner,https://chaloner.com/,"McLean, VA","Mission-driven only, and names strategic partnerships and initiatives alongside communications as core practices - both halves of this job",High
20680,"Head of Partnerships, Fellowship",Tarbell Center for AI Journalism,4,Cooper Coleman LLC,https://coopercoleman.com/,"Chicago, IL","Nonprofit and research-institution exclusive with NYC and DC offices; ranked in Hunt Scanlon's top 75 nonprofit search firms",Medium
20680,"Head of Partnerships, Fellowship",Tarbell Center for AI Journalism,5,Lindauer,https://www.lindauerglobal.com/,"Boston, MA","42-person nonprofit search firm with a named Communications + Marketing practice and national reach",Medium
20686,Digital Campaigns Manager,Humans in Control,1,NRG Consulting Group,https://nrgconsulting.group/,"Boston, MA","Nationwide talent network built for exactly this hire type and band; runs search services for mission-driven orgs at manager level. CAVEAT: explicitly progressive, and this client is nonpartisan",Medium
20686,Digital Campaigns Manager,Humans in Control,2,Movement Talent,https://movementtalent.org/,"Washington, DC","Places digital strategists and communicators into movement organisations - the exact function. CAVEAT: explicitly progressive-movement aligned",Medium
20686,Digital Campaigns Manager,Humans in Control,3,Careers In Nonprofits,https://careersinnonprofits.com/,"Chicago, IL","Nonprofit-only, DC office, direct hire at this level, and politically unaligned - which suits a nonpartisan client better than the movement networks",Medium
20686,Digital Campaigns Manager,Humans in Control,4,PNP Staffing Group,https://pnpstaffinggroup.com/,"New York, NY","Nonprofit-exclusive with a DC office and a comms/marketing desk; apolitical positioning fits the bipartisan brief",Medium
20686,Digital Campaigns Manager,Humans in Control,5,Blueline Fellows,https://bluelinefellows.com/,"Chicago, IL","Recruits campaign staff with live email/SMS/digital programme experience into mission-driven employers - the precise skill set. CAVEAT: progressive by design",Low
20741,Residency,MATS Research,1,Thayon,https://thayon.com/,UK,"Founder-led frontier AI search, ex-executive-search, placements from DeepMind, FAIR, Cohere and Nvidia - matches the residency's actual candidate profile of experienced researchers moving into safety",High
20741,Residency,MATS Research,2,Impact Ops,https://impact-ops.org/,Remote-first,"Runs a dedicated AI safety recruitment practice and explicitly benchmarks nonprofit comp against frontier lab offers - MATS's central hiring problem",High
20741,Residency,MATS Research,3,DeepRec.ai,https://deeprec.ai/,UK,"17-person AI and deep tech specialist covering Research and AI evaluation/security hiring across UK and US - maps onto the London and Berkeley sites",Medium
20741,Residency,MATS Research,4,Altruistic Careers,https://altruistic-careers.com/,UK,"Bespoke headhunting for EA-aligned orgs; culturally native to the applicant pool. CAVEAT: one-person firm, capacity-limited",Medium
20741,Residency,MATS Research,5,SteadRise,https://steadrise.org/,UK,"Routes experienced operators and researchers into AI safety roles and already appears as a talent source for Talos Network. CAVEAT: positions itself as a network, not a fee-taking recruiter",Low
20764,AI Cyber Red Teamer,"Trajectory Labs, PBC",1,RedBlue Security,https://redbluesecurity.com/,"Austin, TX","States it represents ex-TAO members, Pwn2Own winners, PPP and DEF CON CTF winners and kernel-level exploit developers - Trajectory's essential and highly-valued criteria almost verbatim",High
20764,AI Cyber Red Teamer,"Trajectory Labs, PBC",2,Code Red Partners,https://coderedpartners.com/,"San Francisco, CA","Security-exclusive since 2017, 20 staff, builds founding security teams for startups, and was live on an Offensive Security Technical Security Lead search on 27 Aug 2026",High
20764,AI Cyber Red Teamer,"Trajectory Labs, PBC",3,Cipher Cyber,https://ciphercyber.co.uk/,"London, UK","Boutique cyber recruiter naming Penetration Testing, Red Teaming and Security Research (CREST and CHECK) as its first specialism; role is remote-global so UK base is workable",Medium
20764,AI Cyber Red Teamer,"Trajectory Labs, PBC",4,Trident Search,https://tridentsearch.co.uk/,"London, UK","Global cyber search built for early and growth-stage cyber vendors and VC-backed startups - Trajectory Labs is under a year old, which is their stated client profile",Medium
20764,AI Cyber Red Teamer,"Trajectory Labs, PBC",5,Cyberstrike Group,https://cyberstrikegroup.com/,"Media, PA","Contract-native across W2, 1099 and C2C, matching this role's contract engagement. CAVEAT: focus is cleared and govcon work, which Trajectory is not",Low
20674,DC Research Manager (Talent Development Team),GovAI,1,Impact Ops,https://impact-ops.org/,Remote-first,"AI safety recruitment specialists who know the ecosystem's comp norms and hiring conventions; GovAI is squarely their client type",High
20674,DC Research Manager (Talent Development Team),GovAI,2,PLBsearch,https://plbsearch.com/,"Washington, DC","DC boutique in senior communications, public affairs and government relations - the DC emerging-tech-policy network GovAI names as preferred",High
20674,DC Research Manager (Talent Development Team),GovAI,3,Chaloner,https://chaloner.com/,"McLean, VA","Mission-driven only and names government affairs and policy plus advocacy among core practices; DC-area base",Medium
20674,DC Research Manager (Talent Development Team),GovAI,4,Altruistic Careers,https://altruistic-careers.com/,UK,"EA-aligned headhunting; cultural fluency matters disproportionately for a role that coaches fellows inside that community. CAVEAT: one-person firm",Medium
20674,DC Research Manager (Talent Development Team),GovAI,5,Cooper Coleman LLC,https://coopercoleman.com/,"Chicago, IL","Nonprofit, foundation and research-institution exclusive with a Washington DC office",Medium
